Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre
22,8,hope ur ok,"5,435,614",Olivia Rodrigo,6266514,['pop']
169,2,Faz Amor Comigo Só Hoje - Ao Vivo,"5,269,757","Israel & Rodolffo, Wesley Safadão",1097789,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
80,5,Alcohol-Free,"5,259,503",TWICE,9987114,"['k-pop', 'k-pop girl group']"
184,1,WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,"5,186,354",BIA,151870,"['escape room', 'r&b', 'rap latina', 'trap queen']"
187,1,Memory,"5,173,178","Kane Brown, blackbear",3507622,"['contemporary country', 'country road']"
183,4,Me Fije,"5,068,677","Alex Rose, Rauw Alejandro",2166191,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']"
71,13,"Volta Bebê, Volta Neném","5,041,120","Dj Guuga, DJ Ivis",608109,"['funk carioca', 'funk paulista', 'rave funk']"
95,13,Aloha,"5,036,030","Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell",26769304,"['latin', 'reggaeton', 'reggaeton colombiano']"
184,2,Sexo Virtual,"4,975,786",Rauw Alejandro,6080597,"['puerto rican pop', 'trap latino']"
141,32,Closer,"4,954,679","The Chainsmokers, Halsey",18191658,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
194,4,Wonderwall - Remastered,"4,938,180",Oasis,6475631,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']"
101,1,Wasting Time ( feat. Drake ),"6,731,106",Brent Faiyaz,1724414,"['dmv rap', 'pop', 'r&b', 'rap']"
55,2,I Don't Do Drugs (feat. Ariana Grande),"5,912,293",Doja Cat,8640063,"['dance pop', 'pop']"
132,1,Renegade (feat. Taylor Swift),"5,876,058",Big Red Machine,98503,"['eau claire indie', 'folktronica']"
40,2,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"5,392,334","Tyler, The Creator",6777818,"['hip hop', 'rap']"
152,2,All Eyes On Me,"5,347,263",Bo Burnham,1042079,['comic']
101,3,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"5,321,544",DJ Khaled,6278835,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
72,10,Dick (feat. Doja Cat),"5,258,628",StarBoi3,17202,[]
25,4,Solar Power,"5,234,112",Lorde,8083566,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']"
4,10,Your Power,"5,135,380",Billie Eilish,47014200,"['electropop', 'pop']"
189,1,Lieben wir,"5,029,898",Shirin David,558345,"['frauenrap', 'german hip hop', 'german pop']"
8,37,Whoopty,"5,013,017",CJ,180454,['nyc rap']
55,17,Batom de Cereja - Ao Vivo,"5,011,753",Israel & Rodolffo,1097789,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
11,33,Prisoner (feat. Dua Lipa),"5,005,018",Miley Cyrus,15770302,"['dance pop', 'pop', 'post-teen pop']"
